Ce_wt,Cr_wt,T_equil_C,C,SI,MN,CU,NI,P,S,CE,CR,calculation_status,calculation_error,stable_phases,n_stable_phases,phasefrac_BCC_A2#1,phasefrac_M7C3_D101#1,phasefrac_MS_B1#1,phase_fraction_sum,phasefrac_base_BCC_A2,phasefrac_base_CEMENTITE_D011,phasefrac_base_M7C3_D101,phasefrac_base_MS_B1,phasefrac_base_CE2S3,phasefrac_base_CE3S4_D73,phasefrac_base_CE2C3_D5C,matrix_phase_fraction,matrix_Cr_wt,matrix_Mn_wt,matrix_Cu_wt,phasefrac_CE2S3#1,phasefrac_CE3S4_D73#1,phasefrac_CE2C3_D5C#1,harmful_phase_fraction,calphad_feasible
0.01,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.01,1.0,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9915543631638662,0.008291994113537756,5.548889760131497e-05,0.9999999999999999,0.9915543631638662,0.0,0.008291994113537756,5.548889760131497e-05,9.815382499451469e-05,0.0,0.0,0.9915543631638662,0.7421636164096574,0.7674572093125466,0.3019168075472153,9.815382499451469e-05,,,0.0,False
0.01,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.01,1.1,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9914665577184336,0.008379811142462997,5.5483264965046564e-05,0.9999999999999999,0.9914665577184336,0.0,0.008379811142462997,5.5483264965046564e-05,9.814787413818094e-05,0.0,0.0,0.9914665577184336,0.8254324131787637,0.7692552880857138,0.3019336486310467,9.814787413818094e-05,,,0.0,True
0.01,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.01,1.2,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9913908025435785,0.008455577927816876,5.547746394870912e-05,1.0,0.9913908025435785,0.0,0.008455577927816876,5.547746394870912e-05,9.814206465585272e-05,0.0,0.0,0.9913908025435785,0.9101191372121092,0.7708967624670877,0.3019479893463627,9.814206465585272e-05,,,0.0,True
0.01,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.01,1.3,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9913252018178454,0.008521190286967918,5.547151873144103e-05,1.0000000000000002,0.9913252018178454,0.0,0.008521190286967918,5.547151873144103e-05,9.813637645528671e-05,0.0,0.0,0.9913252018178454,0.9960488070600833,0.7723995118362876,0.30196023305081526,9.813637645528671e-05,,,0.0,True
0.01,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.01,1.4,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9912681596737023,0.008578244083890364,5.5465450366036014e-05,1.0,0.9912681596737023,0.0,0.008578244083890364,5.5465450366036014e-05,9.813079204129973e-05,0.0,0.0,0.9912681596737023,1.0830732596341903,0.773779614474511,0.30197071926883373,9.813079204129973e-05,,,0.0,True
0.015,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.015,1.0,ok,,BCC_A2#1;CE2S3#1;CE3S4_D73#1;M7C3_D101#1,4,0.9915613415745613,0.00829253215889452,,1.0000000000000002,0.9915613415745613,0.0,0.00829253215889452,0.0,0.00010987854226110991,3.624772428325803e-05,0.0,0.9915613415745613,0.7422405106801271,0.7700741979863991,0.30192385832527585,0.00010987854226110991,3.624772428325803e-05,,0.0,False
0.015,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.015,1.1,ok,,BCC_A2#1;CE2S3#1;CE3S4_D73#1;M7C3_D101#1,4,0.9914735879553624,0.008380296545078094,,0.9999999999999999,0.9914735879553624,0.0,0.008380296545078094,0.0,0.00010987044608771084,3.6245053471615e-05,0.0,0.9914735879553624,0.8255132393130289,0.7718761666969386,0.3019406880147984,0.00010987044608771084,3.6245053471615e-05,,0.0,True
0.015,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.015,1.2,ok,,BCC_A2#1;CE2S3#1;CE3S4_D73#1;M7C3_D101#1,4,0.9913978737626765,0.008456021503163035,,1.0000000000000002,0.9913978737626765,0.0,0.008456021503163035,0.0,0.00010986235110753627,3.624238305311927e-05,0.0,0.9913978737626765,0.9102036541904257,0.773521077110084,0.3019550197509014,0.00010986235110753627,3.624238305311927e-05,,0.0,True
0.015,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.015,1.3,ok,,BCC_A2#1;CE2S3#1;CE3S4_D73#1;M7C3_D101#1,4,0.9913323056027519,0.008521600426899997,,0.9999999999999999,0.9913323056027519,0.0,0.008521600426899997,0.0,0.0001098542573202908,3.623971302774519e-05,0.0,0.9913323056027519,0.9961368454193628,0.7750268559834363,0.3019672563501952,0.0001098542573202908,3.623971302774519e-05,,0.0,True
0.015,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.015,1.4,ok,,BCC_A2#1;CE2S3#1;CE3S4_D73#1;M7C3_D101#1,4,0.9912752894713447,0.008578627320534153,,1.0,0.9912752894713447,0.0,0.008578627320534153,0.0,0.00010984616472568634,3.6237043395455576e-05,0.0,0.9912752894713447,1.083164700553119,0.7764096260386282,0.3019777369215714,0.00010984616472568634,3.6237043395455576e-05,,0.0,True
